key,value
1. Weltkrieg , Erster Weltkrieg
11. Jahrhundert,9999
11. September 2001 , Attentat
11. September 2001 , USA
11. September 2001 , Terrorismus
12. Jahrhundert,9999
13. Jahrhundert,9999
14. Jahrhundert,9999
15. Jahrhundert,9999
16. Jahrhundert,9999
17. Jahrhundert,9999
18. Jahrhundert,9999
19. Jahrhundert,9999
2. Weltkrieg , Zweiter Weltkrieg
20. Jahrhundert,9999
21. Jahrhundert,9999
68er-Bewegung , Studentenbewegung
Abbrecher,9999
Abduktion,9999
"Abendroth, Wolfgang",9999
Abendschule,9999
Abenteuerfilm,9999
Abenteuerpädagogik , Erlebnispädagogik
Aberglaube,9999
Abfall,9999
Abfallbeseitigung,9999
Abfalltrennung,9999
Abfallverbrennung , Abfallbeseitigung
Abfallvermeidung,9999
Abfallverwertung,9999
Abfallwirtschaft,9999
Abfindung,9999
Abgaben,9999
Abgas , Luft
Abgas , Schadstoff
Abgeordnetengesetz,9999
Abgeordneter,9999
Abgrenzungspolitik,9999
Abgänger,9999
abhängig Beschäftigter,9999
Abhängigkeit,9999
Abhängigkeitsverhältnis , Abhängigkeit
Abitur,9999
Abiturient,9999
Abiturientin,9999
Abkommen , Vertrag
Abkommen , internationales Abkommen
ABL , alte Bundesländer
Ablauforganisation,9999
Ablaufplanung , Planung
Ablaufplanung , Arbeitsablauf
Ablösungsprozess,9999
Ablösungsprozeß , Ablösungsprozess
ABM , Arbeitsbeschaffungsmaßnahme
Abmahnung,9999
Abonnement,9999
Abonnementfernsehen , Pay-TV
Abonnementzeitung , Abonnement
Abonnementzeitung , Zeitung
Abrüstung,9999
Abrüstungspolitik , Abrüstung
Abrüstungspolitik , Verteidigungspolitik
Absatz,9999
Absatzmarkt , Markt
Absatzorganisation , Absatz
Absatzorganisation , Organisation
Absatzplanung , Planung
Absatzplanung , Absatz
Absatzpolitik,9999
Absatzstrategie , Absatz
Absatzstrategie , Strategie
Absatztheorie,9999
Absatzweg , Absatz
Absatzweg , Organisation
Abschiebehaft , Abschiebung
Abschiebung,9999
Abschreckung,9999
Abschreibung,9999
Absentismus,9999
Absolutismus,9999
Absolvent,9999
Abstammungsgemeinschaft , ethnische Herkunft
Abstieg , beruflicher Abstieg
Abstieg , sozialer Abstieg
Abstimmung,9999
Abstraktion,9999
Abtreibung , Schwangerschaftsabbruch
Abu Dhabi , Persischer Golf
Abwanderung,9999
Abwasser,9999
Abwehrmechanismus,9999
abweichendes Verhalten,9999
Abwertung,9999
Abwicklung,9999
Acht-Stunden-Tag,9999
Achtundsechziger-Bewegung , Studentenbewegung
Ackerbau,9999
Adaption , Anpassung
ADAV,9999
Adel,9999
"Adenauer, Konrad",9999
ADGB,9999
ADHS,9999
Adipositas , Fettsucht
"Adler, Max",9999
Administration , Verwaltung
Adoleszenz,9999
Adoption,9999
Adoptionsrecht , Adoption
Adoptionsrecht , Familienrecht
Adoptionsvermittlung,9999
Adoptiveltern , Adoption
Adoptiveltern , Eltern
Adoptivkind , Adoption
Adoptivkind , Kind
"Adorno, Theodor W.",9999
Adressatengruppe , Zielgruppe
Affektfernsehen,9999
affektive Bindung , Bindung
